10-05-2021 19:06:40 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:41 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-41.html HTTP/1.1" 200 None
10-05-2021 19:06:41 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:41 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:41 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:41 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:41 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-42.html HTTP/1.1" 200 None
10-05-2021 19:06:42 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:42 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:42 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:42 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:42 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-43.html HTTP/1.1" 200 None
10-05-2021 19:06:42 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:42 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:42 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:42 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:43 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-44.html HTTP/1.1" 200 None
10-05-2021 19:06:43 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:43 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:43 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:43 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:43 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-45.html HTTP/1.1" 200 None
10-05-2021 19:06:43 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:43 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:43 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:43 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:44 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-46.html HTTP/1.1" 200 None
10-05-2021 19:06:44 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:44 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:44 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:44 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:44 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-47.html HTTP/1.1" 200 None
10-05-2021 19:06:44 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:44 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:44 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:44 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:45 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-48.html HTTP/1.1" 200 None
10-05-2021 19:06:45 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:45 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:45 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:45 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:45 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-49.html HTTP/1.1" 200 None
10-05-2021 19:06:46 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:46 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:46 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
